game_id,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,away.venue.id,season,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,away.color,away.alternateColor,away.logo,status.type.altDetail
220515015,220515015,s:40~l:59~e:220515015~c:220515015,2002-05-16T01:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-16T01:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,TRUE,,,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,2184,2002,,,,,,,,,,,,,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
220517003,220517003,s:40~l:59~e:220517003~c:220517003,2002-05-17T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-17T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
220518009,220518009,s:40~l:59~e:220518009~c:220518009,2002-05-18T20:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-18T20:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,,2002,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,
220518013,220518013,s:40~l:59~e:220518013~c:220518013,2002-05-18T21:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-18T21:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,2184,2002,,,,,,,,,,,,,05452a,f7c43c,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,
220518001,220518001,s:40~l:59~e:220518001~c:220518001,2002-05-18T22:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-18T22:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,2002,,,,,,,,,,,,,5084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
220518007,220518007,s:40~l:59~e:220518007~c:220518007,2002-05-18T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-18T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,TRUE,3438,,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,2002,1844,Pepsi Center,Denver,CO,19099,FALSE,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,
220519014,220519014,s:40~l:59~e:220519014~c:220519014,2002-05-19T22:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-19T22:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,2002,3438,AmericanAirlines Arena,Miami,FL,19600,TRUE,,,,,,,,,,
220519010,220519010,s:40~l:59~e:220519010~c:220519010,2002-05-19T23:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-19T23:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,TRUE,,,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
220519012,220519012,s:40~l:59~e:220519012~c:220519012,2002-05-20T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-20T02:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,,,TRUE,3423,,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,,2002,1841,STAPLES Center,Los Angeles,CA,19068,TRUE,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,
220520001,220520001,s:40~l:59~e:220520001~c:220520001,2002-05-20T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-20T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,3417,2002,,,,,,,,,,,,,,,,
220521008,220521008,s:40~l:59~e:220521008~c:220521008,2002-05-22T00:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-22T00:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,5084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,2002,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,,,,,,,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,
220521004,220521004,s:40~l:59~e:220521004~c:220521004,2002-05-22T00:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-22T00:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,TRUE,,2002,1847,United Center,Chicago,IL,21711,FALSE,,,,,,,,,,
220522007,220522007,s:40~l:59~e:220522007~c:220522007,2002-05-22T23:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-22T23:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,TRUE,3438,,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,2002,1844,Pepsi Center,Denver,CO,19099,FALSE,,,,,,,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,
220523002,220523002,s:40~l:59~e:220523002~c:220523002,2002-05-23T14:30Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-23T14:30Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,,,TRUE,3417,,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,1823,2002,1824,TD Banknorth Garden,Boston,MA,18624,FALSE,,,,,,,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,
220523015,220523015,s:40~l:59~e:220523015~c:220523015,2002-05-24T01:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-24T01:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,TRUE,,,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,TRUE,3423,2002,,,,,,,,,,,,,,,,
220523014,220523014,s:40~l:59~e:220523014~c:220523014,2002-05-24T02:00Z,0,TRUE,FALSE,FALSE,TRUE,[],2002-05-24T02:00Z,18,EXH,0,0,0,0,STATUS_TBD,pre,FALSE,TBD,TBD,TBD,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,,2002,,,,,,,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,
220525006,220525006,s:40~l:59~e:220525006~c:220525006,2002-05-25T19:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-25T19:00Z,1,STD,1,1,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,2002,1841,STAPLES Center,Los Angeles,CA,19068,TRUE,playoff,Playoff Series,LOS Wins series 2-0,TRUE,3,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/6?lang=en&region=us'}, {'id': '9', 'uid': 's:40~l:59~t:9', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2002/teams/9?lang=en&region=us'}]",0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,
220525008,220525008,s:40~l:59~e:220525008~c:220525008,2002-05-26T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-26T00:00Z,1,STD,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,5084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,2002,2029,Target Center,Minneapolis,MN,19006,FALSE,,,,,,,,,,
220527004,220527004,s:40~l:59~e:220527004~c:220527004,2002-05-27T19:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-27T19:00Z,1,STD,30,30,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
220528007,220528007,s:40~l:59~e:220528007~c:220528007,2002-05-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-28T23:00Z,1,STD,22,22,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,TRUE,3438,,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,2002,3438,AmericanAirlines Arena,Miami,FL,19600,TRUE,,,,,,,5084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
220529004,220529004,s:40~l:59~e:220529004~c:220529004,2002-05-30T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-30T00:30Z,1,STD,2,2,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,2002,,,,,,,,,,,,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,
220529012,220529012,s:40~l:59~e:220529012~c:220529012,2002-05-30T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-30T02:00Z,1,STD,11,11,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,,,TRUE,3423,,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,2002,3423,Rose Garden,Portland,OR,19980,FALSE,,,,,,,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,
220530007,220530007,s:40~l:59~e:220530007~c:220530007,2002-05-30T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-30T23:00Z,1,STD,2,2,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,,,TRUE,3438,,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,2002,3438,AmericanAirlines Arena,Miami,FL,19600,TRUE,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
220530010,220530010,s:40~l:59~e:220530010~c:220530010,2002-05-30T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-30T23:30Z,1,STD,12,12,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,,,TRUE,,,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,2002,,,,,,,,,,,,,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,
220530015,220530015,s:40~l:59~e:220530015~c:220530015,2002-05-31T01:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-31T01:00Z,1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,,,TRUE,,,12,s:40~l:59~t:12,Portland,Fire,POR,Portland Fire,Fire,TRUE,3423,2002,,,,,,,,,,,,,,,,
220530014,220530014,s:40~l:59~e:220530014~c:220530014,2002-05-31T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-05-31T02:00Z,1,STD,1,1,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,2002,2184,KeyArena,Seattle,WA,17459,TRUE,,,,,,,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,
220601002,220601002,s:40~l:59~e:220601002~c:220601002,2002-06-01T19:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-01T19:00Z,1,STD,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,,,TRUE,3417,,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,,2002,3417,Quicken Loans Arena,Cleveland,OH,20562,FALSE,,,,,,,,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,
220601016,220601016,s:40~l:59~e:220601016~c:220601016,2002-06-01T22:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-01T22:00Z,1,STD,4,4,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,10,s:40~l:59~t:10,Orlando,Miracle,ORL,Orlando Miracle,Miracle,TRUE,,2002,1823,Capital One Arena,Washington,DC,20362,TRUE,,,,,,,,,,
220601001,220601001,s:40~l:59~e:220601001~c:220601001,2002-06-02T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-02T00:00Z,1,STD,6,6,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,2002,,,,,,,,,,,,,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,
220601005,220601005,s:40~l:59~e:220601005~c:220601005,2002-06-02T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-02T00:00Z,1,STD,2,2,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,2002,,,,,,,,,,,,,11213e,c5d646,https://a.espncdn.com/i/teamlogos/wnba/500/tul.png,
220601011,220601011,s:40~l:59~e:220601011~c:220601011,2002-06-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-02T02:00Z,1,STD,5,5,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,15,s:40~l:59~t:15,Utah,Starzz,UTH,Utah Starzz,Starzz,TRUE,,2002,1949,Phoenix Suns Arena,Phoenix,AZ,18055,TRUE,,,,,,,,,,
220601013,220601013,s:40~l:59~e:220601013~c:220601013,2002-06-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-02T02:00Z,1,STD,1,1,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,2029,2002,,,,,,,,,,,,,5084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,
220602009,220602009,s:40~l:59~e:220602009~c:220602009,2002-06-02T16:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2002-06-02T16:00Z,1,STD,9,9,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,7,s:40~l:59~t:7,Miami,Sol,MIA,Miami Sol,Sol,TRUE,3438,2002,1830,Madison Square Garden,New York,NY,19763,FALSE,,,,,,,,,,
